,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Apt Size
179,ce,t0013817,Rent Change,8/1/2013,C5254D,7/31/2009,,660.0,0,955,2,2.0,10.0,,medium
180,ce,t0013817,Rent Change,11/1/2014,C5254D,7/31/2009,,679.0,0,955,2,2.0,19.0,,medium
181,ce,t0013817,Rent Change,11/1/2015,C5254D,7/31/2009,,699.0,0,955,2,2.0,20.0,,medium
182,ce,t0013817,Rent Change,10/31/2016,C5254D,7/31/2009,,734.0,0,955,2,2.0,35.0,,medium
183,ce,t0013817,Rent Change,10/31/2017,C5254D,7/31/2009,3/3/2018,748.0,1,955,2,2.0,14.0,123 days 00:00:00.000000000,medium
185,ce,t0013818,Rent Change,10/31/2013,C5254E,10/8/2011,5/1/2014,664.0,1,905,1,2.0,49.0,182 days 00:00:00.000000000,medium
187,ce,t0013820,Rent Change,6/30/2013,C5254G,8/13/2010,,625.0,0,905,1,2.0,10.0,,medium
188,ce,t0013820,Rent Change,12/31/2013,C5254G,8/13/2010,,630.0,0,905,1,2.0,5.0,,medium
189,ce,t0013820,Rent Change,3/31/2015,C5254G,8/13/2010,,636.0,0,905,1,2.0,6.0,,medium
190,ce,t0013820,Rent Change,2/29/2016,C5254G,8/13/2010,,670.0,0,905,1,2.0,34.0,,medium
191,ce,t0013820,Rent Change,8/31/2016,C5254G,8/13/2010,9/30/2016,699.0,1,905,1,2.0,29.0,30 days 00:00:00.000000000,medium
194,ce,t0013822,Rent Change,9/1/2013,C5254J,8/15/2011,10/13/2014,645.0,1,905,1,2.0,20.0,407 days 00:00:00.000000000,medium
196,ce,t0013824,Rent Change,12/31/2013,C5254L,12/11/2012,7/30/2014,655.0,1,905,1,2.0,20.0,211 days 00:00:00.000000000,medium
199,ce,t0013826,Rent Change,6/30/2013,C5269B,6/23/2012,6/30/2014,570.0,1,675,1,1.0,10.0,365 days 00:00:00.000000000,medium
201,ce,t0013827,Rent Change,3/31/2014,C5269C,3/19/2012,,577.0,0,675,1,1.0,17.0,,medium
202,ce,t0013827,Rent Change,7/31/2014,C5269C,3/19/2012,10/31/2014,594.0,1,675,1,1.0,17.0,92 days 00:00:00.000000000,medium
206,ce,t0013828,Rent Change,1/31/2015,C5269D,1/7/2011,,597.0,0,675,1,1.0,17.0,,medium
207,ce,t0013828,Rent Change,1/31/2016,C5269D,1/7/2011,1/31/2017,629.0,1,675,1,1.0,32.0,366 days 00:00:00.000000000,medium
209,ce,t0013829,Rent Change,3/31/2014,C5269E,3/24/2012,,587.0,0,675,1,1.0,17.0,,medium
210,ce,t0013829,Rent Change,3/31/2015,C5269E,3/24/2012,,593.0,0,675,1,1.0,6.0,,medium
211,ce,t0013829,Rent Change,3/31/2016,C5269E,3/24/2012,,629.0,0,675,1,1.0,36.0,,medium
212,ce,t0013829,Rent Change,3/31/2017,C5269E,3/24/2012,3/31/2018,657.0,1,675,1,1.0,28.0,365 days 00:00:00.000000000,medium
214,ce,t0013830,Rent Change,9/30/2013,C5269F,9/7/2012,11/30/2013,590.0,1,675,1,1.0,20.0,61 days 00:00:00.000000000,medium
216,ce,t0013831,Rent Change,6/30/2013,C5269G,2/3/2001,,580.0,0,675,1,1.0,10.0,,medium
217,ce,t0013831,Rent Change,6/30/2014,C5269G,2/3/2001,3/20/2015,597.0,1,675,1,1.0,17.0,263 days 00:00:00.000000000,medium
221,ce,t0013834,Rent Change,3/31/2014,C5269K,2/26/2010,4/18/2014,594.0,1,675,1,1.0,14.0,18 days 00:00:00.000000000,medium
223,ce,t0013835,Rent Change,10/31/2013,C5269L,10/6/2012,10/31/2014,600.0,1,675,1,1.0,20.0,365 days 00:00:00.000000000,medium
225,ce,t0013836,Rent Change,6/30/2013,C5269M,9/30/2011,6/30/2014,590.0,1,675,1,1.0,10.0,365 days 00:00:00.000000000,medium
228,ce,t0013839,Rent Change,12/31/2013,C5271C,12/15/2012,,580.0,0,675,1,1.0,20.0,,medium
229,ce,t0013839,Rent Change,1/1/2015,C5271C,12/15/2012,,591.0,0,675,1,1.0,11.0,,medium
230,ce,t0013839,Rent Change,12/31/2015,C5271C,12/15/2012,,629.0,0,675,1,1.0,38.0,,medium
231,ce,t0013839,Rent Change,12/31/2017,C5271C,12/15/2012,12/31/2018,657.0,1,675,1,1.0,28.0,365 days 00:00:00.000000000,medium
233,ce,t0013840,Rent Change,10/31/2013,C5271D,10/10/2012,10/31/2014,580.0,1,675,1,1.0,20.0,365 days 00:00:00.000000000,medium
235,ce,t0013841,Rent Change,8/1/2013,C5271E,7/28/2012,9/30/2013,590.0,1,675,1,1.0,20.0,60 days 00:00:00.000000000,medium
238,ce,t0013843,Rent Change,9/30/2013,C5271G,9/28/2012,,590.0,0,675,1,1.0,20.0,,medium
239,ce,t0013843,Rent Change,1/31/2014,C5271G,9/28/2012,9/30/2014,585.0,1,675,1,1.0,-5.0,242 days 00:00:00.000000000,medium
243,ce,t0013846,Rent Change,6/30/2013,C5271K,7/1/2012,,600.0,0,675,1,1.0,10.0,,medium
244,ce,t0013846,Rent Change,6/30/2014,C5271K,7/1/2012,,618.0,0,675,1,1.0,18.0,,medium
