ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"ce","S1500-7C","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-7D","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05274","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05276","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05282","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05284","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-7E","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-7F","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271J","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5271K","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5271L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5271M","Rent","Rent","Rent",657.00,02/22/2017,729.00,03/31/2017,729.00,03/31/2017,,,
"ce","C5273J","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5273K","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5273L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5273M","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5322L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5322M","Rent","Rent","Rent",657.00,02/22/2017,729.00,03/31/2017,729.00,03/31/2017,,,
"ce","C5324L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5324M","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
