Unit_Code,Ref_Unit_Id,Property_Code,Ref_Property_ID,Record_Type,Date,Rent,Deposit,Sqft,FSetAside,UtilityAllowance,ContractRent,RoomId,BedId,RDBasicRent,NewRentsId
1986-04A,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-04A,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-04A,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-04B,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-04B,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-04C,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-04C,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-04C,,mpg,,Rent Change,4/25/2018,1119,0,835,0,0,0,,,0,
1986-04C,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-04C,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-05A,,mpg,,New Unit,8/2/2017,1099,0,735,0,0,0,,,0,
1986-05A,,mpg,,Rent Change,10/26/2018,1175,0,735,0,0,0,,,0,
1986-05B,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-05B,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-05C,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-05C,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-06A,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-06A,,mpg,,Rent Change,5/1/2018,1119,0,835,0,0,0,,,0,
1986-06A,,mpg,,Rent Change,10/26/2018,1050,0,835,0,0,0,,,0,
1986-06A,,mpg,,Rent Change,10/26/2018,1119,0,835,0,0,0,,,0,
1986-06A,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-06A,,mpg,,Rent Change,10/29/2018,1126,0,835,0,0,0,,,0,
1986-06B,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-06B,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-06B,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-06B,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-06B,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-06C,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-06C,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-07A,,mpg,,New Unit,8/2/2017,1050,0,735,0,0,0,,,0,
1986-07A,,mpg,,Rent Change,10/26/2018,1126,0,735,0,0,0,,,0,
1986-07B,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-07B,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-07B,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-07B,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-07B,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-07C,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-07C,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-07C,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-07C,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-07C,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-08A,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-08A,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-08B,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-08B,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-08B,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-08B,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-08B,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-08C,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-08C,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-09A,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-09A,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-09A,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-09A,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-09A,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-09B,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-09B,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-09C,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-09C,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-10A,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-10A,,mpg,,Rent Change,4/4/2018,1119,0,835,0,0,0,,,0,
