,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy,City,State,Zip_Code,SQFT,BedRooms,Bathroom
151,ce,t0013751,Move Out,2015-10-19,C05278,2011-09-16,2015-10-18,834.0,0.0,1493 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
159,ce,t0013751,Rent Change,2013-04-26,C05278,2011-09-16,,0.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
160,ce,t0013751,Rent Change,2013-04-30,C05278,2011-09-16,,780.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
161,ce,t0013751,Rent Change,2013-09-30,C05278,2011-09-16,,803.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
163,ce,t0013751,Rent Change,2014-01-31,C05278,2011-09-16,,1606.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
164,ce,t0013751,Rent Change,2014-02-28,C05278,2011-09-16,,803.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
166,ce,t0013751,Rent Change,2015-01-01,C05278,2011-09-16,,810.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
169,ce,t0013751,Rent Change,2015-06-30,C05278,2011-09-16,,834.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
174,ce,t0030915,Move Out,2018-10-01,C05278,2016-10-01,2018-09-30,1049.0,0.0,729 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
183,ce,t0030915,Rent Change,2017-09-30,C05278,2016-10-01,,1049.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
186,ce,t0040543,Rent Change,2018-08-13,C05278,2018-11-15,,1109.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
194,ce,t0013752,Move Out,2017-06-01,C05280,2010-04-23,2017-05-31,859.0,0.0,2595 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
198,ce,t0013752,Rent Change,2013-04-26,C05280,2010-04-23,,0.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
199,ce,t0013752,Rent Change,2013-04-30,C05280,2010-04-23,,780.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
203,ce,t0013752,Rent Change,2014-05-31,C05280,2010-04-23,,803.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
