,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Property_Code_ce,Property_Code_fh,Property_Code_mpg,Property_Code_sh,Apt Size_0,Apt Size_large,Apt Size_medium,Apt Size_small
983,618.0,1,675,1,1.0,0.0,335,1,0,0,0,0,0,1,0
985,629.0,1,675,1,1.0,39.0,129,1,0,0,0,0,0,1,0
988,713.0,1,955,2,2.0,5.0,107,1,0,0,0,0,0,1,0
989,638.0,1,675,1,1.0,0.0,67,1,0,0,0,0,0,1,0
992,716.0,1,875,2,1.5,-52.0,739,1,0,0,0,0,0,1,0
996,966.0,1,1400,3,2.5,67.0,10,1,0,0,0,0,1,0,0
999,589.0,1,675,1,1.0,-11.0,386,1,0,0,0,0,0,1,0
1009,769.0,1,955,2,1.0,10.0,62,1,0,0,0,0,0,1,0
1011,666.0,1,955,2,1.5,-5.0,460,1,0,0,0,0,0,1,0
1016,562.0,1,635,1,1.0,11.0,30,1,0,0,0,0,0,1,0
1032,624.0,1,1006,2,1.5,25.0,334,0,0,0,1,0,1,0,0
1033,629.0,1,1006,2,1.5,0.0,141,0,0,0,1,0,1,0,0
1034,700.0,1,1006,3,1.5,0.0,13,0,0,0,1,0,1,0,0
1037,674.0,1,1006,3,1.5,20.0,153,0,0,0,1,0,1,0,0
1044,664.0,1,1006,3,1.5,0.0,365,0,0,0,1,0,1,0,0
1050,639.0,1,1006,3,1.5,-61.0,335,0,0,0,1,0,1,0,0
1051,661.0,1,1006,3,1.5,0.0,340,0,0,0,1,0,1,0,0
1053,652.0,1,1006,3,1.5,11.0,364,0,0,0,1,0,1,0,0
1057,710.0,1,1006,3,1.5,24.0,32,0,0,0,1,0,1,0,0
1058,698.0,1,1006,3,1.5,0.0,371,0,0,0,1,0,1,0,0
1060,681.0,1,1006,3,1.5,20.0,186,0,0,0,1,0,1,0,0
1061,661.0,1,1006,3,1.5,0.0,203,0,0,0,1,0,1,0,0
1069,665.0,1,1006,2,1.5,36.0,366,0,0,0,1,0,1,0,0
1071,629.0,1,1006,2,1.5,-20.0,164,0,0,0,1,0,1,0,0
1073,629.0,1,1006,2,1.5,17.0,365,0,0,0,1,0,1,0,0
1076,669.0,1,1006,2,1.5,40.0,366,0,0,0,1,0,1,0,0
1077,629.0,1,1006,2,1.5,0.0,72,0,0,0,1,0,1,0,0
1078,604.0,1,1006,2,1.5,0.0,335,0,0,0,1,0,1,0,0
1080,629.0,1,1006,2,1.5,3.0,365,0,0,0,1,0,1,0,0
1082,629.0,1,1006,2,1.5,7.0,127,0,0,0,1,0,1,0,0
1085,695.0,1,1006,2,1.5,47.0,42,0,0,0,1,0,1,0,0
1086,639.0,1,1006,2,1.5,0.0,364,0,0,0,1,0,1,0,0
1088,654.0,1,1006,2,1.5,25.0,368,0,0,0,1,0,1,0,0
1097,745.0,1,1006,2,1.5,25.0,367,0,0,0,1,0,1,0,0
1098,634.0,1,1006,2,1.5,0.0,699,0,0,0,1,0,1,0,0
1099,629.0,1,1006,2,1.5,0.0,365,0,0,0,1,0,1,0,0
1101,622.0,1,1006,2,1.5,9.0,325,0,0,0,1,0,1,0,0
1109,648.0,1,1006,2,1.5,19.0,367,0,0,0,1,0,1,0,0
1113,629.0,1,1006,2,1.5,-10.0,313,0,0,0,1,0,1,0,0
1116,648.0,1,1006,2,1.5,19.0,366,0,0,0,1,0,1,0,0
1117,629.0,1,1006,2,1.5,0.0,396,0,0,0,1,0,1,0,0
1118,678.0,1,1006,3,1.5,0.0,128,0,0,0,1,0,1,0,0
1121,659.0,1,1006,3,1.5,0.0,88,0,0,0,1,0,1,0,0
1122,700.0,1,1006,3,1.5,0.0,51,0,0,0,1,0,1,0,0
1123,664.0,1,1006,3,1.5,0.0,94,0,0,0,1,0,1,0,0
1124,661.0,1,1006,3,1.5,0.0,355,0,0,0,1,0,1,0,0
1127,774.0,1,1156,3,1.5,23.0,91,0,0,0,1,0,1,0,0
1131,629.0,1,1006,2,1.5,-46.0,275,0,0,0,1,0,1,0,0
1132,751.0,1,1156,3,1.5,0.0,244,0,0,0,1,0,1,0,0
1133,749.0,1,1156,3,1.5,0.0,282,0,0,0,1,0,1,0,0
1135,751.0,1,1156,3,1.5,-23.0,316,0,0,0,1,0,1,0,0
1136,629.0,1,1006,2,1.5,0.0,365,0,0,0,1,0,1,0,0
1138,744.0,1,1156,3,1.5,14.0,731,0,0,0,1,0,1,0,0
1139,634.0,1,1006,2,1.5,0.0,367,0,0,0,1,0,1,0,0
1141,629.0,1,1006,2,1.5,8.0,191,0,0,0,1,0,1,0,0
1143,751.0,1,1156,3,1.5,-49.0,380,0,0,0,1,0,1,0,0
1144,751.0,1,1156,3,1.5,0.0,252,0,0,0,1,0,1,0,0
1145,726.0,1,1156,3,1.5,0.0,3,0,0,0,1,0,1,0,0
1146,629.0,1,1006,2,1.5,0.0,732,0,0,0,1,0,1,0,0
1150,769.0,1,1006,2,1.5,130.0,44,0,0,0,1,0,1,0,0
1157,800.0,1,1156,3,1.5,49.0,67,0,0,0,1,0,1,0,0
1158,771.0,1,1156,3,1.5,0.0,364,0,0,0,1,0,1,0,0
1159,729.0,1,1156,3,1.5,25.0,187,0,0,0,1,0,1,0,0
1161,769.0,1,1156,3,1.5,15.0,396,0,0,0,1,0,1,0,0
1163,776.0,1,1156,3,1.5,25.0,365,0,0,0,1,0,1,0,0
1165,751.0,1,1156,3,1.5,15.0,364,0,0,0,1,0,1,0,0
1167,629.0,1,1006,2,1.5,6.0,395,0,0,0,1,0,1,0,0
1171,654.0,1,1006,2,1.5,25.0,365,0,0,0,1,0,1,0,0
1173,629.0,1,1006,2,1.5,-46.0,97,0,0,0,1,0,1,0,0
1174,631.0,1,1006,3,1.5,0.0,32,0,0,0,1,0,1,0,0
1176,631.0,1,1006,3,1.5,18.0,79,0,0,0,1,0,1,0,0
1178,661.0,1,1006,3,1.5,-39.0,17,0,0,0,1,0,1,0,0
1179,661.0,1,1006,3,1.5,0.0,348,0,0,0,1,0,1,0,0
1182,676.0,1,1006,2,1.5,29.0,406,0,0,0,1,0,1,0,0
1183,800.0,1,1156,3,1.5,0.0,211,0,0,0,1,0,1,0,0
1184,661.0,1,1156,3,1.5,0.0,365,0,0,0,1,0,1,0,0
1186,751.0,1,1156,3,1.5,17.0,367,0,0,0,1,0,1,0,0
1187,751.0,1,1156,3,1.5,0.0,163,0,0,0,1,0,1,0,0
1188,749.0,1,1156,3,1.5,0.0,649,0,0,0,1,0,1,0,0
1192,777.0,1,1156,3,1.5,10.0,345,0,0,0,1,0,1,0,0
1194,751.0,1,1156,3,1.5,13.0,377,0,0,0,1,0,1,0,0
1195,751.0,1,1156,3,1.5,0.0,264,0,0,0,1,0,1,0,0
1196,639.0,1,1006,3,1.5,0.0,248,0,0,0,1,0,1,0,0
1197,641.0,1,1006,3,1.5,0.0,333,0,0,0,1,0,1,0,0
1198,671.0,1,1006,3,1.5,0.0,584,0,0,0,1,0,1,0,0
1207,609.0,1,1006,2,1.5,15.0,380,0,0,0,1,0,1,0,0
1213,705.0,1,1006,2,1.5,10.0,60,0,0,0,1,0,1,0,0
1214,634.0,1,1006,2,1.5,0.0,403,0,0,0,1,0,1,0,0
1215,629.0,1,1006,2,1.5,0.0,362,0,0,0,1,0,1,0,0
1220,720.0,1,1006,2,1.5,51.0,124,0,0,0,1,0,1,0,0
1226,629.0,1,1006,2,1.5,0.0,366,0,0,0,1,0,1,0,0
1227,634.0,1,1006,2,1.5,0.0,730,0,0,0,1,0,1,0,0
1228,639.0,1,1006,2,1.5,0.0,731,0,0,0,1,0,1,0,0
1235,653.0,1,1006,2,1.5,19.0,181,0,0,0,1,0,1,0,0
1236,629.0,1,1006,2,1.5,0.0,395,0,0,0,1,0,1,0,0
1237,689.0,1,1006,2,1.5,0.0,271,0,0,0,1,0,1,0,0
1238,879.0,1,1350,2,1.5,0.0,294,0,0,0,1,0,1,0,0
1239,879.0,1,1350,2,1.5,0.0,365,0,0,0,1,0,1,0,0
1240,879.0,1,1350,2,1.5,0.0,35,0,0,0,1,0,1,0,0
1249,920.0,1,1350,2,1.5,41.0,33,0,0,0,1,0,1,0,0
1251,902.0,1,1350,2,1.5,18.0,183,0,0,0,1,0,1,0,0
1254,909.0,1,1350,2,1.5,30.0,349,0,0,0,1,0,1,0,0
1255,829.0,1,1350,2,1.5,0.0,377,0,0,0,1,0,1,0,0
1256,909.0,1,1350,2,1.5,0.0,305,0,0,0,1,0,1,0,0
1259,934.0,1,1350,2,1.5,20.0,184,0,0,0,1,0,1,0,0
1260,884.0,1,1350,2,1.5,0.0,302,0,0,0,1,0,1,0,0
1264,854.0,1,1350,2,1.5,25.0,90,0,0,0,1,0,1,0,0
1269,944.0,1,1350,2,1.5,25.0,121,0,0,0,1,0,1,0,0
1270,912.0,1,1350,2,1.5,0.0,226,0,0,0,1,0,1,0,0
1273,929.0,1,1350,2,1.5,40.0,15,0,0,0,1,0,1,0,0
1293,814.0,1,1350,2,1.5,25.0,365,0,0,0,1,0,1,0,0
1296,879.0,1,1350,2,1.5,-96.0,389,0,0,0,1,0,1,0,0
1298,914.0,1,1350,2,1.5,35.0,366,0,0,0,1,0,1,0,0
1299,879.0,1,1350,2,1.5,0.0,336,0,0,0,1,0,1,0,0
1307,844.0,1,1350,2,1.5,5.0,38,0,0,0,1,0,1,0,0
1309,943.0,1,1350,3,1.5,22.0,730,0,0,0,1,0,1,0,0
1311,947.0,1,1350,3,1.5,28.0,368,0,0,0,1,0,1,0,0
1313,967.0,1,1350,3,1.5,46.0,348,0,0,0,1,0,1,0,0
1315,899.0,1,1350,3,1.5,22.0,174,0,0,0,1,0,1,0,0
1318,911.0,1,1350,3,1.5,-79.0,63,0,0,0,1,0,1,0,0
1320,949.0,1,1350,3,1.5,28.0,457,0,0,0,1,0,1,0,0
1321,921.0,1,1350,3,1.5,0.0,226,0,0,0,1,0,1,0,0
1323,921.0,1,1350,3,1.5,11.0,196,0,0,0,1,0,1,0,0
1352,973.0,1,1350,3,1.5,25.0,396,0,0,0,1,0,1,0,0
1354,921.0,1,1350,3,1.5,-33.0,320,0,0,0,1,0,1,0,0
1356,921.0,1,1350,3,1.5,-33.0,345,0,0,0,1,0,1,0,0
1359,948.0,1,1350,3,1.5,27.0,367,0,0,0,1,0,1,0,0
1362,986.0,1,1350,3,1.5,10.0,380,0,0,0,1,0,1,0,0
1364,921.0,1,1350,3,1.5,-69.0,114,0,0,0,1,0,1,0,0
1366,990.0,1,1350,3,1.5,109.0,365,0,0,0,1,0,1,0,0
1373,975.0,1,1350,3,1.5,5.0,73,0,0,0,1,0,1,0,0
1375,946.0,1,1350,3,1.5,25.0,370,0,0,0,1,0,1,0,0
1376,890.0,1,1350,3,1.5,0.0,65,0,0,0,1,0,1,0,0
1384,975.0,1,1350,3,1.5,25.0,370,0,0,0,1,0,1,0,0
1387,990.0,1,1350,3,1.5,74.0,124,0,0,0,1,0,1,0,0
1393,921.0,1,1350,3,1.5,0.0,396,0,0,0,1,0,1,0,0
1395,909.0,1,1350,3,1.5,20.0,304,0,0,0,1,0,1,0,0
1396,861.0,1,1350,3,1.5,0.0,34,0,0,0,1,0,1,0,0
1408,1000.0,1,1350,3,1.5,25.0,365,0,0,0,1,0,1,0,0
1411,951.0,1,1350,3,1.5,30.0,336,0,0,0,1,0,1,0,0
1412,990.0,1,1350,3,1.5,0.0,62,0,0,0,1,0,1,0,0
1413,909.0,1,1350,3,1.5,0.0,304,0,0,0,1,0,1,0,0
1417,1015.0,1,1350,3,1.5,25.0,325,0,0,0,1,0,1,0,0
1418,921.0,1,1350,3,1.5,0.0,338,0,0,0,1,0,1,0,0
1421,990.0,1,1350,3,1.5,69.0,62,0,0,0,1,0,1,0,0
1422,921.0,1,1350,3,1.5,0.0,365,0,0,0,1,0,1,0,0
1426,621.0,1,963,2,1.5,-7.0,92,0,0,0,1,0,0,1,0
1444,589.0,1,963,2,1.5,0.0,365,0,0,0,1,0,0,1,0
1451,614.0,1,963,2,1.5,20.0,246,0,0,0,1,0,0,1,0
1453,700.0,1,963,2,1.5,20.0,34,0,0,0,1,0,0,1,0
1454,589.0,1,963,2,1.5,0.0,366,0,0,0,1,0,0,1,0
1455,589.0,1,963,2,1.5,0.0,113,0,0,0,1,0,0,1,0
1458,610.0,1,963,2,1.5,21.0,366,0,0,0,1,0,0,1,0
1459,589.0,1,963,2,1.5,0.0,364,0,0,0,1,0,0,1,0
1462,679.0,1,963,2,1.5,20.0,731,0,0,0,1,0,0,1,0
1465,653.0,1,963,2,1.5,38.0,90,0,0,0,1,0,0,1,0
1467,594.0,1,963,2,1.5,1.0,340,0,0,0,1,0,0,1,0
1470,649.0,1,963,2,1.5,25.0,365,0,0,0,1,0,0,1,0
1471,594.0,1,963,2,1.5,0.0,248,0,0,0,1,0,0,1,0
1472,579.0,1,950,2,2.0,0.0,243,0,0,0,1,0,0,1,0
1475,589.0,1,950,2,2.0,20.0,236,0,0,0,1,0,0,1,0
1477,591.0,1,950,2,2.0,17.0,24,0,0,0,1,0,0,1,0
1478,564.0,1,950,2,2.0,0.0,365,0,0,0,1,0,0,1,0
1480,591.0,1,950,2,2.0,17.0,365,0,0,0,1,0,0,1,0
1481,569.0,1,950,2,2.0,0.0,130,0,0,0,1,0,0,1,0
1482,569.0,1,950,2,2.0,0.0,335,0,0,0,1,0,0,1,0
1487,720.0,1,950,2,2.0,78.0,1,0,0,0,1,0,0,1,0
1498,644.0,1,950,2,2.0,35.0,365,0,0,0,1,0,0,1,0
1499,559.0,1,950,2,2.0,0.0,399,0,0,0,1,0,0,1,0
1508,725.0,1,950,2,2.0,25.0,36,0,0,0,1,0,0,1,0
1510,569.0,1,950,2,2.0,2.0,32,0,0,0,1,0,0,1,0
1512,640.0,1,950,2,2.0,6.0,214,0,0,0,1,0,0,1,0
1522,640.0,1,950,2,2.0,25.0,364,0,0,0,1,0,0,1,0
1524,514.0,1,950,2,2.0,-25.0,644,0,0,0,1,0,0,1,0
1525,544.0,1,950,2,2.0,0.0,683,0,0,0,1,0,0,1,0
1526,569.0,1,950,2,2.0,0.0,364,0,0,0,1,0,0,1,0
1528,584.0,1,950,2,2.0,25.0,228,0,0,0,1,0,0,1,0
1529,569.0,1,950,2,2.0,0.0,346,0,0,0,1,0,0,1,0
1532,604.0,1,950,2,2.0,18.0,376,0,0,0,1,0,0,1,0
1534,559.0,1,950,2,2.0,3.0,262,0,0,0,1,0,0,1,0
1535,519.0,1,950,2,2.0,0.0,76,0,0,0,1,0,0,1,0
1540,579.0,1,950,2,2.0,0.0,365,0,0,0,1,0,0,1,0
1543,639.0,1,950,2,2.0,100.0,2,0,0,0,1,0,0,1,0
1550,594.0,1,963,2,1.5,24.0,367,0,0,0,1,0,0,1,0
1551,634.0,1,963,2,1.5,0.0,372,0,0,0,1,0,0,1,0
1553,569.0,1,963,2,1.5,18.0,351,0,0,0,1,0,0,1,0
1554,589.0,1,963,2,1.5,0.0,366,0,0,0,1,0,0,1,0
1555,589.0,1,963,2,1.5,0.0,345,0,0,0,1,0,0,1,0
1556,629.0,1,963,2,1.5,0.0,95,0,0,0,1,0,0,1,0
1561,675.0,1,963,2,1.5,30.0,328,0,0,0,1,0,0,1,0
1562,569.0,1,963,2,1.5,0.0,280,0,0,0,1,0,0,1,0
1568,604.0,1,963,2,1.5,0.0,257,0,0,0,1,0,0,1,0
1570,554.0,1,963,2,1.5,20.0,364,0,0,0,1,0,0,1,0
1585,589.0,1,963,2,1.5,6.0,75,0,0,0,1,0,0,1,0
1587,574.0,1,950,2,1.0,25.0,365,0,0,0,1,0,0,1,0
1591,583.0,1,950,2,1.0,25.0,120,0,0,0,1,0,0,1,0
1596,673.0,1,950,2,1.0,8.0,365,0,0,0,1,0,0,1,0
1597,550.0,1,950,2,1.0,0.0,353,0,0,0,1,0,0,1,0
1599,564.0,1,950,2,1.0,25.0,351,0,0,0,1,0,0,1,0
1603,529.0,1,932,2,1.0,0.0,206,0,0,0,1,0,0,1,0
1604,539.0,1,932,2,1.0,0.0,289,0,0,0,1,0,0,1,0
1606,539.0,1,932,2,1.0,5.0,92,0,0,0,1,0,0,1,0
1609,539.0,1,932,2,1.0,0.0,45,0,0,0,1,0,0,1,0
1611,529.0,1,932,2,1.0,2.0,342,0,0,0,1,0,0,1,0
1616,564.0,1,932,2,1.0,-6.0,183,0,0,0,1,0,0,1,0
1618,570.0,1,932,2,1.0,31.0,367,0,0,0,1,0,0,1,0
1620,539.0,1,984,2,1.0,9.0,364,0,0,0,1,0,0,1,0
1621,539.0,1,984,2,1.0,0.0,365,0,0,0,1,0,0,1,0
1626,620.0,1,984,2,1.0,32.0,73,0,0,0,1,0,0,1,0
1628,578.0,1,984,2,1.0,19.0,366,0,0,0,1,0,0,1,0
1632,554.0,1,984,2,1.0,25.0,364,0,0,0,1,0,0,1,0
1633,559.0,1,984,2,1.0,0.0,364,0,0,0,1,0,0,1,0
1636,613.0,1,984,2,1.0,25.0,365,0,0,0,1,0,0,1,0
1641,1099.0,1,984,2,1.0,0.0,31,0,0,0,1,0,0,1,0
1648,559.0,1,984,2,1.0,0.0,151,0,0,0,1,0,0,1,0
1649,544.0,1,932,2,1.0,0.0,396,0,0,0,1,0,0,1,0
1650,539.0,1,932,2,1.0,0.0,294,0,0,0,1,0,0,1,0
1653,594.0,1,932,2,1.0,30.0,0,0,0,0,1,0,0,1,0
1656,574.0,1,932,2,1.0,25.0,365,0,0,0,1,0,0,1,0
1659,539.0,1,932,2,1.0,-29.0,339,0,0,0,1,0,0,1,0
1660,570.0,1,932,2,1.0,0.0,0,0,0,0,1,0,0,1,0
1662,560.0,1,932,2,1.0,16.0,181,0,0,0,1,0,0,1,0
1666,742.0,1,955,2,1.5,42.0,183,1,0,0,0,0,0,1,0
1668,695.0,1,905,2,1.0,-56.0,236,1,0,0,0,0,0,1,0
1673,598.0,1,675,1,1.0,0.0,366,1,0,0,0,0,0,1,0
1675,604.0,1,963,2,1.5,18.0,181,0,0,0,1,0,0,1,0
1678,539.0,1,932,2,1.0,20.0,92,0,0,0,1,0,0,1,0
1680,921.0,1,1350,3,1.5,22.0,215,0,0,0,1,0,1,0,0
1682,924.0,1,1350,3,1.5,25.0,150,0,0,0,1,0,1,0,0
1684,586.0,1,963,2,1.5,17.0,365,0,0,0,1,0,0,1,0
1688,609.0,1,1006,2,1.5,-18.0,382,0,0,0,1,0,1,0,0
1690,627.0,1,1006,2,1.5,18.0,191,0,0,0,1,0,1,0,0
1692,569.0,1,963,2,1.5,-17.0,299,0,0,0,1,0,0,1,0
1693,609.0,1,1006,3,1.5,0.0,165,0,0,0,1,0,1,0,0
1700,639.0,1,1006,3,1.5,-19.0,375,0,0,0,1,0,1,0,0
1703,588.0,1,675,1,1.0,12.0,363,1,0,0,0,0,0,1,0
1704,593.0,1,635,1,1.0,0.0,184,1,0,0,0,0,0,1,0
1707,726.0,1,955,2,2.0,21.0,366,1,0,0,0,0,0,1,0
1710,598.0,1,675,1,1.0,12.0,365,1,0,0,0,0,0,1,0
1714,603.0,1,963,2,1.5,-25.0,396,0,0,0,1,0,0,1,0
1715,551.0,1,932,2,1.0,0.0,341,0,0,0,1,0,0,1,0
1716,685.0,1,875,2,1.5,6.0,154,1,0,0,0,0,0,1,0
1718,685.0,1,875,2,1.5,27.0,379,1,0,0,0,0,0,1,0
1721,656.0,1,635,1,1.0,27.0,365,1,0,0,0,0,0,1,0
1722,954.0,1,1350,3,1.5,0.0,365,0,0,0,1,0,1,0,0
1725,695.0,1,1006,2,1.5,49.0,274,0,0,0,1,0,1,0,0
1731,688.0,1,1006,3,1.5,-33.0,398,0,0,0,1,0,1,0,0
1738,665.0,1,1006,2,1.5,19.0,346,0,0,0,1,0,1,0,0
1740,653.0,1,875,2,1.5,-55.0,299,1,0,0,0,0,0,1,0
1741,912.0,1,1350,2,1.5,0.0,92,0,0,0,1,0,1,0,0
1743,576.0,1,675,1,1.0,7.0,217,1,0,0,0,0,0,1,0
1745,662.0,1,875,2,1.5,7.0,366,1,0,0,0,0,0,1,0
1746,646.0,1,1006,2,1.5,0.0,365,0,0,0,1,0,1,0,0
1748,942.0,1,1350,2,1.5,30.0,761,0,0,0,1,0,1,0,0
1749,646.0,1,1006,2,1.5,0.0,366,0,0,0,1,0,1,0,0
1750,645.0,1,955,2,2.0,0.0,428,1,0,0,0,0,0,1,0
1760,665.0,1,875,2,1.5,30.0,365,1,0,0,0,0,0,1,0
1764,751.0,1,1156,3,1.5,0.0,344,0,0,0,1,0,1,0,0
1769,658.0,1,875,2,1.5,7.0,92,1,0,0,0,0,0,1,0
1770,596.0,1,675,1,1.0,0.0,153,1,0,0,0,0,0,1,0
1771,751.0,1,1156,3,1.5,0.0,409,0,0,0,1,0,1,0,0
1773,885.0,1,1350,2,1.5,-27.0,379,0,0,0,1,0,1,0,0
1777,634.0,1,950,2,2.0,2.0,338,0,0,0,1,0,0,1,0
1779,665.0,1,875,2,1.5,-34.0,88,1,0,0,0,0,0,1,0
1780,641.0,1,963,2,1.5,0.0,362,0,0,0,1,0,0,1,0
1784,649.0,1,675,1,1.0,37.0,364,1,0,0,0,0,0,1,0
1786,799.0,1,875,2,1.5,104.0,300,1,0,0,0,0,0,1,0
1792,597.0,1,950,2,1.0,19.0,371,0,0,0,1,0,0,1,0
1793,545.0,1,950,2,2.0,0.0,276,0,0,0,1,0,0,1,0
1802,891.0,1,1088,2,1.5,42.0,276,1,0,0,0,0,1,0,0
1805,685.0,1,955,2,1.0,-50.0,245,1,0,0,0,0,0,1,0
1808,622.0,1,963,2,1.5,0.0,91,0,0,0,1,0,0,1,0
1809,591.0,1,635,1,1.0,0.0,365,1,0,0,0,0,0,1,0
1810,672.0,1,875,2,1.5,0.0,365,1,0,0,0,0,0,1,0
1811,646.0,1,1006,2,1.5,0.0,411,0,0,0,1,0,1,0,0
1814,824.0,1,1156,3,1.5,27.0,123,0,0,0,1,0,1,0,0
1815,983.0,1,1350,3,1.5,0.0,773,0,0,0,1,0,1,0,0
1818,705.0,1,955,2,1.0,35.0,367,1,0,0,0,0,0,1,0
1819,983.0,1,1350,3,1.5,0.0,367,0,0,0,1,0,1,0,0
1824,774.0,1,0,0,0.0,0.0,426,0,0,0,1,1,0,0,0
1826,600.0,1,675,1,1.0,-29.0,397,1,0,0,0,0,0,1,0
1829,696.0,1,1006,2,1.5,1.0,35,0,0,0,1,0,1,0,0
1831,619.0,1,675,1,1.0,0.0,400,1,0,0,0,0,0,1,0
1832,599.0,1,950,2,2.0,0.0,40,0,0,0,1,0,0,1,0
1834,990.0,1,1350,3,1.5,7.0,369,0,0,0,1,0,1,0,0
1836,622.0,1,963,2,1.5,0.0,365,0,0,0,1,0,0,1,0
1837,589.0,1,984,2,1.0,0.0,121,0,0,0,1,0,0,1,0
1839,671.0,1,905,1,1.0,20.0,366,1,0,0,0,0,0,1,0
1841,695.0,1,875,2,1.5,20.0,92,1,0,0,0,0,0,1,0
1844,682.0,1,875,2,1.5,0.0,306,1,0,0,0,0,0,1,0
1847,695.0,1,1006,2,1.5,30.0,321,0,0,0,1,0,1,0,0
1855,739.0,1,675,1,1.0,81.0,365,1,0,0,0,0,0,1,0
1862,635.0,1,675,1,1.0,0.0,319,1,0,0,0,0,0,1,0
1864,739.0,1,955,2,1.0,33.0,374,1,0,0,0,0,0,1,0
1868,610.0,1,675,1,1.0,-29.0,365,1,0,0,0,0,0,1,0
1875,738.0,1,875,2,1.5,39.0,229,1,0,0,0,0,0,1,0
1876,665.0,1,1006,2,1.5,0.0,547,0,0,0,1,0,1,0,0
1880,799.0,1,955,2,1.0,20.0,200,1,0,0,0,0,0,1,0
1882,608.0,1,984,2,1.0,19.0,249,0,0,0,1,0,0,1,0
1883,589.0,1,984,2,1.0,0.0,372,0,0,0,1,0,0,1,0
1891,605.0,1,932,2,1.0,10.0,45,0,0,0,1,0,0,1,0
1895,641.0,1,963,2,1.5,13.0,61,0,0,0,1,0,0,1,0
1896,599.0,1,950,2,2.0,0.0,371,0,0,0,1,0,0,1,0
1897,629.0,1,675,1,1.0,0.0,364,1,0,0,0,0,0,1,0
1899,639.0,1,950,2,2.0,32.0,365,0,0,0,1,0,0,1,0
1900,665.0,1,1006,2,1.5,0.0,122,0,0,0,1,0,1,0,0
1901,990.0,1,1350,3,1.5,0.0,31,0,0,0,1,0,1,0,0
1906,995.0,1,1350,2,1.5,8.0,392,0,0,0,1,0,1,0,0
1909,608.0,1,984,2,1.0,13.0,412,0,0,0,1,0,0,1,0
1910,639.0,1,675,1,1.0,0.0,317,1,0,0,0,0,0,1,0
1912,1005.0,1,1350,3,1.5,15.0,69,0,0,0,1,0,1,0,0
1913,646.0,1,1006,3,1.5,0.0,30,0,0,0,1,0,1,0,0
1915,610.0,1,984,2,1.0,20.0,365,0,0,0,1,0,0,1,0
1916,646.0,1,1006,2,1.5,0.0,69,0,0,0,1,0,1,0,0
1918,700.0,1,1006,3,1.5,-100.0,336,0,0,0,1,0,1,0,0
1920,609.0,1,675,1,1.0,-10.0,63,1,0,0,0,0,0,1,0
1923,726.0,1,955,2,2.0,0.0,366,1,0,0,0,0,0,1,0
1924,629.0,1,963,2,1.5,0.0,366,0,0,0,1,0,0,1,0
1926,1005.0,1,1350,3,1.5,15.0,395,0,0,0,1,0,1,0,0
1927,631.0,1,635,1,1.0,0.0,366,1,0,0,0,0,0,1,0
1928,990.0,1,1350,3,1.5,0.0,12,0,0,0,1,0,1,0,0
1932,715.0,1,955,2,2.0,0.0,366,1,0,0,0,0,0,1,0
1934,620.0,1,950,2,2.0,0.0,365,0,0,0,1,0,0,1,0
1938,668.0,1,675,1,1.0,30.0,365,1,0,0,0,0,0,1,0
1939,725.0,1,1006,3,1.5,0.0,181,0,0,0,1,0,1,0,0
1940,615.0,1,984,2,1.0,0.0,370,0,0,0,1,0,0,1,0
1941,639.0,1,950,2,2.0,0.0,214,0,0,0,1,0,0,1,0
1942,954.0,1,1350,3,1.5,0.0,368,0,0,0,1,0,1,0,0
1944,774.0,1,875,2,1.5,22.0,389,1,0,0,0,0,0,1,0
1947,729.0,1,675,1,1.0,70.0,7,1,0,0,0,0,0,1,0
1948,675.0,1,875,2,1.5,0.0,173,1,0,0,0,0,0,1,0
1949,700.0,1,1006,2,1.5,25.0,83,0,0,0,1,0,1,0,0
1952,647.0,1,963,2,1.5,12.0,365,0,0,0,1,0,0,1,0
1959,725.0,1,1006,3,1.5,25.0,318,0,0,0,1,0,1,0,0
1962,610.0,1,963,2,1.5,0.0,376,0,0,0,1,0,0,1,0
1969,609.0,1,675,1,1.0,10.0,77,1,0,0,0,0,0,1,0
1971,590.0,1,950,2,2.0,0.0,175,0,0,0,1,0,0,1,0
1972,700.0,1,1006,3,1.5,0.0,264,0,0,0,1,0,1,0,0
1975,677.0,1,675,1,1.0,20.0,365,1,0,0,0,0,0,1,0
1979,600.0,1,932,2,1.0,-10.0,364,0,0,0,1,0,0,1,0
1981,610.0,1,932,2,1.0,20.0,172,0,0,0,1,0,0,1,0
1983,740.0,1,875,2,1.5,-90.0,146,1,0,0,0,0,0,1,0
1984,658.0,1,675,1,1.0,0.0,313,1,0,0,0,0,0,1,0
1986,590.0,1,932,2,1.0,20.0,366,0,0,0,1,0,0,1,0
1991,650.0,1,984,2,1.0,32.0,336,0,0,0,1,0,0,1,0
1992,630.0,1,950,2,1.0,0.0,339,0,0,0,1,0,0,1,0
1993,697.0,1,905,2,1.0,0.0,122,1,0,0,0,0,0,1,0
1994,630.0,1,963,2,1.5,20.0,362,0,0,0,1,0,0,1,0
1996,926.0,1,1350,3,1.5,0.0,207,0,0,0,1,0,1,0,0
1997,675.0,1,875,2,1.5,0.0,366,1,0,0,0,0,0,1,0
