,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Property_Code_ce,Property_Code_fh,Property_Code_mpg,Property_Code_sh,Apt Size_0,Apt Size_large,Apt Size_medium,Apt Size_small
182,560.0,1,675,1,1.0,10.0,335,1,0,0,0,0,0,1,0
183,560.0,1,675,1,1.0,10.0,365,1,0,0,0,0,0,1,0
187,624.0,1,675,1,1.0,30.0,247,1,0,0,0,0,0,1,0
190,621.0,1,675,1,1.0,24.0,92,1,0,0,0,0,0,1,0
191,574.0,1,675,1,1.0,14.0,457,1,0,0,0,0,0,1,0
193,621.0,1,675,1,1.0,51.0,366,1,0,0,0,0,0,1,0
195,608.0,1,675,1,1.0,18.0,364,1,0,0,0,0,0,1,0
196,590.0,1,675,1,1.0,20.0,365,1,0,0,0,0,0,1,0
197,628.0,1,675,1,1.0,58.0,61,1,0,0,0,0,0,1,0
198,570.0,1,675,1,1.0,20.0,92,1,0,0,0,0,0,1,0
202,619.0,1,675,1,1.0,25.0,365,1,0,0,0,0,0,1,0
206,629.0,1,675,1,1.0,20.0,285,1,0,0,0,0,0,1,0
216,635.0,1,675,1,1.0,30.0,365,1,0,0,0,0,0,1,0
217,587.0,1,675,1,1.0,17.0,485,1,0,0,0,0,0,1,0
219,597.0,1,675,1,1.0,12.0,364,1,0,0,0,0,0,1,0
220,577.0,1,675,1,1.0,17.0,365,1,0,0,0,0,0,1,0
222,602.0,1,675,1,1.0,12.0,150,1,0,0,0,0,0,1,0
223,591.0,1,675,1,1.0,21.0,334,1,0,0,0,0,0,1,0
224,580.0,1,675,1,1.0,15.0,365,1,0,0,0,0,0,1,0
228,664.0,1,675,1,1.0,49.0,209,1,0,0,0,0,0,1,0
236,608.0,1,675,1,1.0,18.0,61,1,0,0,0,0,0,1,0
241,677.0,1,675,1,1.0,3.0,395,1,0,0,0,0,0,1,0
242,610.0,1,675,1,1.0,20.0,729,1,0,0,0,0,0,1,0
256,610.0,1,675,1,1.0,20.0,291,1,0,0,0,0,0,1,0
267,587.0,1,675,1,1.0,17.0,308,1,0,0,0,0,0,1,0
275,597.0,1,675,1,1.0,17.0,158,1,0,0,0,0,0,1,0
277,618.0,1,675,1,1.0,18.0,334,1,0,0,0,0,0,1,0
278,580.0,1,675,1,1.0,20.0,152,1,0,0,0,0,0,1,0
280,609.0,1,675,1,1.0,19.0,370,1,0,0,0,0,0,1,0
281,590.0,1,675,1,1.0,20.0,-1,1,0,0,0,0,0,1,0
289,608.0,1,675,1,1.0,18.0,283,1,0,0,0,0,0,1,0
302,570.0,1,675,1,1.0,10.0,335,1,0,0,0,0,0,1,0
303,580.0,1,675,1,1.0,20.0,364,1,0,0,0,0,0,1,0
307,632.0,1,675,1,1.0,24.0,0,1,0,0,0,0,0,1,0
308,584.0,1,675,1,1.0,14.0,457,1,0,0,0,0,0,1,0
310,597.0,1,675,1,1.0,17.0,365,1,0,0,0,0,0,1,0
314,664.0,1,675,1,1.0,35.0,365,1,0,0,0,0,0,1,0
315,590.0,1,675,1,1.0,15.0,153,1,0,0,0,0,0,1,0
316,590.0,1,675,1,1.0,20.0,365,1,0,0,0,0,0,1,0
320,665.0,1,675,1,1.0,24.0,28,1,0,0,0,0,0,1,0
322,580.0,1,675,1,1.0,10.0,71,1,0,0,0,0,0,1,0
323,580.0,1,675,1,1.0,20.0,29,1,0,0,0,0,0,1,0
334,687.0,1,675,1,1.0,13.0,66,1,0,0,0,0,0,1,0
338,677.0,1,675,1,1.0,28.0,11,1,0,0,0,0,0,1,0
340,610.0,1,675,1,1.0,30.0,152,1,0,0,0,0,0,1,0
341,580.0,1,675,1,1.0,15.0,377,1,0,0,0,0,0,1,0
342,587.0,1,675,1,1.0,17.0,237,1,0,0,0,0,0,1,0
