,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy
2559,ce,t0013936,Deposit Accounting,2018-08-21,M0020C,2018-03-21,2018-07-31,933.0,0.0,132 days 00:00:00.000000000,0
2562,ce,t0013936,Transfer Unit (From S1450E to M0020C),2018-03-21,M0020C,2018-03-21,,933.0,0.0,,0
2563,ce,t0013936,Move In,2018-03-21,M0020C,2018-03-21,,933.0,0.0,,0
2678,ce,t0013945,Notice Given,2013-04-18,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2679,ce,t0013945,Move Out,2013-04-18,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,1
2680,ce,t0013945,Deposit Change,2013-04-25,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2681,ce,t0013945,Deposit Accounting,2013-04-25,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2682,ce,t0013945,Adjust Deposit Accounting,2013-04-25,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2683,ce,t0013945,Adjust Deposit Accounting,2013-06-17,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2687,ce,t0013945,Month to Month,2013-04-18,S1452B,2011-08-04,,555.0,0.0,,0
2688,ce,t0013946,Transfer Unit (From S1452C to M0020A),2018-03-26,M0020A,2018-03-26,,913.0,0.0,,0
2689,ce,t0013946,Move In,2018-03-26,M0020A,2018-03-26,,913.0,0.0,,0
2692,ce,t0013946,Lease Renewal,2018-06-04,M0020A,2018-03-26,,913.0,0.0,,0
2693,ce,t0013946,Month to Month,2018-07-01,M0020A,2018-03-26,,913.0,0.0,,0
2749,ce,t0013951,Notice Given,2013-04-18,S1452H,2005-08-13,2013-04-30,565.0,0.0,2817 days 00:00:00.000000000,0
2750,ce,t0013951,Move Out,2013-04-30,S1452H,2005-08-13,2013-04-30,565.0,0.0,2817 days 00:00:00.000000000,1
2751,ce,t0013951,Deposit Change,2013-05-08,S1452H,2005-08-13,2013-04-30,565.0,0.0,2817 days 00:00:00.000000000,0
2752,ce,t0013951,Deposit Accounting,2013-05-08,S1452H,2005-08-13,2013-04-30,565.0,0.0,2817 days 00:00:00.000000000,0
2785,ce,t0013955,Notice Given,2013-04-17,S1454A,2012-04-17,2013-04-30,555.0,0.0,378 days 00:00:00.000000000,0
2786,ce,t0013955,Move Out,2013-04-30,S1454A,2012-04-17,2013-04-30,555.0,0.0,378 days 00:00:00.000000000,1
2787,ce,t0013955,Deposit Change,2013-05-08,S1454A,2012-04-17,2013-04-30,555.0,0.0,378 days 00:00:00.000000000,0
2788,ce,t0013955,Deposit Accounting,2013-05-08,S1454A,2012-04-17,2013-04-30,555.0,0.0,378 days 00:00:00.000000000,0
2839,ce,t0013960,Adjust Moveout Dates,2013-04-22,S1454F,2011-07-16,2013-05-01,570.0,0.0,655 days 00:00:00.000000000,0
2840,ce,t0013960,Adjust Moveout Dates,2013-05-02,S1454F,2011-07-16,2013-04-30,570.0,0.0,654 days 00:00:00.000000000,0
2841,ce,t0013960,Move Out,2013-05-06,S1454F,2011-07-16,2013-04-30,570.0,0.0,654 days 00:00:00.000000000,1
2842,ce,t0013960,Deposit Change,2013-05-08,S1454F,2011-07-16,2013-04-30,570.0,0.0,654 days 00:00:00.000000000,0
2843,ce,t0013960,Deposit Accounting,2013-05-08,S1454F,2011-07-16,2013-04-30,570.0,0.0,654 days 00:00:00.000000000,0
2844,ce,t0013960,Adjust Deposit Accounting,2013-05-08,S1454F,2011-07-16,2013-04-30,570.0,0.0,654 days 00:00:00.000000000,0
2845,ce,t0013960,Notice Given,2013-04-17,S1454F,2011-07-16,2013-04-26,570.0,0.0,650 days 00:00:00.000000000,0
2964,ce,t0013970,Skip,2013-04-23,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,0
2965,ce,t0013970,Move Out,2013-04-23,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,1
2966,ce,t0013970,Deposit Change,2013-04-25,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,0
2967,ce,t0013970,Deposit Accounting,2013-04-25,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,0
2968,ce,t0013970,Adjust Deposit Accounting,2013-04-25,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,0
2969,ce,t0013970,Adjust Deposit Accounting,2013-04-29,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,0
2973,ce,t0013970,Month to Month,2013-04-18,S1456D,2011-12-10,,560.0,0.0,,0
3100,ce,t0013981,Notice Given,2013-04-18,S1458C,2009-03-03,2013-05-18,555.0,0.0,1537 days 00:00:00.000000000,0
3101,ce,t0013981,Move Out,2013-05-20,S1458C,2009-03-03,2013-05-18,555.0,0.0,1537 days 00:00:00.000000000,1
3102,ce,t0013981,Deposit Change,2013-05-30,S1458C,2009-03-03,2013-05-18,555.0,0.0,1537 days 00:00:00.000000000,0
3103,ce,t0013981,Deposit Accounting,2013-05-30,S1458C,2009-03-03,2013-05-18,555.0,0.0,1537 days 00:00:00.000000000,0
3107,ce,t0013981,Month to Month,2013-04-18,S1458C,2009-03-03,,555.0,0.0,,0
3549,ce,t0014018,Notice Given,2013-04-18,S1500-3D,2012-08-11,2013-04-30,675.0,0.0,262 days 00:00:00.000000000,0
3550,ce,t0014018,Move Out,2013-04-30,S1500-3D,2012-08-11,2013-04-30,675.0,0.0,262 days 00:00:00.000000000,1
3551,ce,t0014018,Deposit Change,2013-05-08,S1500-3D,2012-08-11,2013-04-30,675.0,0.0,262 days 00:00:00.000000000,0
3552,ce,t0014018,Deposit Accounting,2013-05-08,S1500-3D,2012-08-11,2013-04-30,675.0,0.0,262 days 00:00:00.000000000,0
3983,ce,t0014050,Adjust Moveout Dates,2013-04-30,S1500-5M,2012-04-27,2013-05-01,680.0,0.0,369 days 00:00:00.000000000,0
3984,ce,t0014050,Notice Given,2013-04-17,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,0
3985,ce,t0014050,Adjust Moveout Dates,2013-05-02,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,0
3986,ce,t0014050,Move Out,2013-05-06,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,1
3987,ce,t0014050,Deposit Change,2013-05-30,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,0
3988,ce,t0014050,Deposit Accounting,2013-05-30,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,0
3989,ce,t0014050,Adjust Deposit Accounting,2013-05-30,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,0
4337,ce,t0014073,Notice Given,2013-07-24,M0001D,2013-01-22,2013-07-24,635.0,0.0,183 days 00:00:00.000000000,0
4338,ce,t0014073,Move Out,2013-07-24,M0001D,2013-01-22,2013-07-24,635.0,0.0,183 days 00:00:00.000000000,1
4339,ce,t0014073,Deposit Change,2013-07-29,M0001D,2013-01-22,2013-07-24,635.0,0.0,183 days 00:00:00.000000000,0
4340,ce,t0014073,Deposit Accounting,2013-07-29,M0001D,2013-01-22,2013-07-24,635.0,0.0,183 days 00:00:00.000000000,0
4341,ce,t0014073,Adjust Deposit Accounting,2013-08-01,M0001D,2013-01-22,2013-07-24,635.0,0.0,183 days 00:00:00.000000000,0
4503,ce,t0014085,Notice Given,2013-07-08,M0003E,2012-08-21,2013-08-31,645.0,0.0,375 days 00:00:00.000000000,0
4504,ce,t0014085,Move Out,2013-09-03,M0003E,2012-08-21,2013-08-31,645.0,0.0,375 days 00:00:00.000000000,1
4505,ce,t0014085,Deposit Change,2013-09-23,M0003E,2012-08-21,2013-08-31,645.0,0.0,375 days 00:00:00.000000000,0
4506,ce,t0014085,Deposit Accounting,2013-09-23,M0003E,2012-08-21,2013-08-31,645.0,0.0,375 days 00:00:00.000000000,0
4510,ce,t0014086,Notice Given,2013-12-05,M0003F,2012-11-12,2013-11-30,655.0,0.0,383 days 00:00:00.000000000,0
4511,ce,t0014086,Move Out,2013-12-05,M0003F,2012-11-12,2013-11-30,655.0,0.0,383 days 00:00:00.000000000,1
4512,ce,t0014086,Deposit Change,2013-12-26,M0003F,2012-11-12,2013-11-30,655.0,0.0,383 days 00:00:00.000000000,0
4513,ce,t0014086,Deposit Accounting,2013-12-26,M0003F,2012-11-12,2013-11-30,655.0,0.0,383 days 00:00:00.000000000,0
4517,ce,t0014086,Month to Month,2013-12-01,M0003F,2012-11-12,,655.0,0.0,,0
4518,ce,t0014087,Notice Given,2013-04-30,M0004A,2012-09-08,2013-04-30,625.0,0.0,234 days 00:00:00.000000000,0
4519,ce,t0014087,Move Out,2013-04-30,M0004A,2012-09-08,2013-04-30,625.0,0.0,234 days 00:00:00.000000000,1
4520,ce,t0014087,Deposit Change,2013-05-08,M0004A,2012-09-08,2013-04-30,625.0,0.0,234 days 00:00:00.000000000,0
4521,ce,t0014087,Deposit Accounting,2013-05-08,M0004A,2012-09-08,2013-04-30,625.0,0.0,234 days 00:00:00.000000000,0
4525,ce,t0014087,Month to Month,2013-04-18,M0004A,2012-09-08,,625.0,0.0,,0
4581,ce,t0014092,Notice Given,2013-10-10,M0004F,2004-09-03,2013-10-31,645.0,0.0,3345 days 00:00:00.000000000,0
4582,ce,t0014092,Move Out,2013-11-01,M0004F,2004-09-03,2013-10-31,645.0,0.0,3345 days 00:00:00.000000000,1
