ResUnitStatus,,,,,,,,,,,,,,,,,,,,,
Property_Code,Ref_Property_ID,StartDate,EndDate,Unit_Code,Date,Status,Tenant_Code,Ext_Ref_Tenant_Id,ApplyDate,ApproveDate,SignDate,MoveInDate,MoveOutDate,LeaseFromDate,LeaseToDate,NoticeDate,AvailableDate,RentReady,VacantDate,ReadyDate,Ref_Unit_Id
sh,,12/19/2013,12/19/2013,AC1059,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1061,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1063,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1064,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1065,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1066,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1069,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1071,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1075,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1076,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1077,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1078,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1081,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1083,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1087,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1089,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1091,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1093,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1094,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,1/20/2014,AC1096,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1097,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/29/2013,AC1099,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,1/26/2014,AC1103,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1105,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1107,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1109,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,1/12/2014,AC1113,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1114,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1115,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1116,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1119,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1120,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1121,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1122,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1125,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1126,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,2/10/2014,AC1127,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1128,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1131,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1132,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
