ResUnitTypes
UnitType_Code,Ref_Property_ID,Property_Code,Description,Rent,SQFT,Beds,Baths,Deposit,MinimumRent,Maximim_Rent,UserDefined_1,UserDefined_2,UserDefined_3,UserDefined_4
".mpg2dr",,"mpg","The Palatine (Reno)",1449.00,1040.000000,2,1.500000,0.00,0.000000,0.000000,,,,
".mpg2e",,"mpg","The Greens",1200.00,1240.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".mpg2e#5",,"mpg","The Greens - Bldg 5",1699.00,1240.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".mpg2er",,"mpg","The Greens (Reno)",1649.00,1240.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".fh1br-1",,"fh","1/1 - Renovated 1st Flr.",975.00,700.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"WAIT-0b",,"fh",,0.00,0.000000,0,0.000000,0.00,0.000000,0.000000,,,,
".fh1ar-1",,"fh","Studio - Renovated 1st Flor.",899.00,387.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".fh1ar-2",,"fh","Studio - Renovated 2nd Flr.",899.00,387.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".fh2-1",,"fh","2/1 1st Flr.",875.00,912.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".fh2r-1",,"fh","2/1 - Renovated 1st Flr.",1099.00,912.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".fh1br-2",,"fh","1/1 - Renovated 2nd Flr.",1050.00,700.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".fh2r-2",,"fh","2/1 - Renovated 2nd Flr.",1199.00,912.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".fh2-2",,"fh","2/1 2nd Flr.",955.00,912.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".fh1b-2",,"fh","1/1 2nd Flr.",855.00,700.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".fh1b-1",,"fh","1/1 1st Flr.",835.00,700.000000,1,1.000000,0.00,0.000000,0.000000,,,,
