,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
165,ce,t0013764,Rent Change,10/31/2013,C0003K,8/19/2011,1/13/2014,676,1,905,2,1,26,74 days 00:00:00.000000000
172,ce,t0013765,Rent Change,4/30/2013,C0003L,8/1/2012,,650,0,905,2,1,650,
173,ce,t0013765,Rent Change,8/1/2013,C0003L,8/1/2012,,680,0,905,2,1,30,
174,ce,t0013765,Rent Change,7/31/2014,C0003L,8/1/2012,,700,0,905,2,1,20,
175,ce,t0013765,Rent Change,9/1/2014,C0003L,8/1/2012,,710,0,905,2,1,10,
176,ce,t0013765,Rent Change,7/31/2015,C0003L,8/1/2012,7/31/2016,720,1,905,2,1,10,366 days 00:00:00.000000000
180,ce,t0013766,Rent Change,4/30/2013,C0003M,4/30/2009,6/30/2013,650,1,905,2,1,650,61 days 00:00:00.000000000
192,ce,t0013767,Rent Change,4/30/2013,C0007A,5/4/2012,7/19/2013,555,1,675,1,1,555,80 days 00:00:00.000000000
199,ce,t0013768,Rent Change,4/30/2013,C0007B,6/20/2012,,560,0,675,1,1,560,
200,ce,t0013768,Rent Change,6/30/2013,C0007B,6/20/2012,7/19/2013,570,1,675,1,1,10,19 days 00:00:00.000000000
212,ce,t0013769,Rent Change,4/30/2013,C0007C,2/14/2013,2/28/2014,570,1,675,1,1,570,304 days 00:00:00.000000000
220,ce,t0013770,Rent Change,4/30/2013,C0007D,4/5/2013,11/30/2013,570,1,675,1,1,570,214 days 00:00:00.000000000
228,ce,t0013771,Rent Change,4/30/2013,C0007E,10/1/2011,,570,0,675,1,1,570,
229,ce,t0013771,Rent Change,9/30/2013,C0007E,10/1/2011,2/5/2014,590,1,675,1,1,20,128 days 00:00:00.000000000
239,ce,t0013772,Rent Change,4/30/2013,C0007F,8/8/2009,8/31/2013,570,1,675,1,1,570,123 days 00:00:00.000000000
247,ce,t0013773,Rent Change,4/30/2013,C0007G,5/10/2012,,570,0,675,1,1,570,
248,ce,t0013773,Rent Change,6/30/2013,C0007G,5/10/2012,,580,0,675,1,1,10,
249,ce,t0013773,Rent Change,5/31/2014,C0007G,5/10/2012,,597,0,675,1,1,17,
250,ce,t0013773,Rent Change,5/31/2015,C0007G,5/10/2012,,615,0,675,1,1,18,
251,ce,t0013773,Rent Change,5/31/2016,C0007G,5/10/2012,9/30/2016,639,1,675,1,1,24,122 days 00:00:00.000000000
257,ce,t0013774,Rent Change,4/30/2013,C0007H,6/15/2011,,570,0,675,1,1,570,
258,ce,t0013774,Rent Change,6/30/2013,C0007H,6/15/2011,6/30/2014,580,1,675,1,1,10,365 days 00:00:00.000000000
263,ce,t0013775,Rent Change,4/30/2013,C0007J,5/28/2010,,580,0,675,1,1,580,
264,ce,t0013775,Rent Change,6/30/2013,C0007J,5/28/2010,,590,0,675,1,1,10,
265,ce,t0013775,Rent Change,6/30/2014,C0007J,5/28/2010,,608,0,675,1,1,18,
266,ce,t0013775,Rent Change,7/31/2015,C0007J,5/28/2010,7/31/2016,629,1,675,1,1,21,366 days 00:00:00.000000000
271,ce,t0013776,Rent Change,4/30/2013,C0007K,8/17/2012,7/31/2013,580,1,675,1,1,580,92 days 00:00:00.000000000
285,ce,t0013777,Rent Change,4/30/2013,C0007L,9/17/2011,,580,0,675,1,1,580,
286,ce,t0013777,Rent Change,9/30/2013,C0007L,9/17/2011,10/31/2013,600,1,675,1,1,20,31 days 00:00:00.000000000
297,ce,t0013778,Rent Change,4/30/2013,C0007M,3/15/2011,9/3/2013,580,1,675,1,1,580,126 days 00:00:00.000000000
311,ce,t0013779,Rent Change,4/30/2013,C0011A,7/1/2012,,630,0,905,2,1,630,
312,ce,t0013779,Rent Change,6/30/2013,C0011A,7/1/2012,,640,0,905,2,1,10,
313,ce,t0013779,Rent Change,10/31/2013,C0011A,7/1/2012,5/1/2014,665,1,905,2,1,25,182 days 00:00:00.000000000
323,ce,t0013780,Rent Change,4/30/2013,C0011B,8/15/2012,8/31/2013,630,1,905,2,1,630,123 days 00:00:00.000000000
330,ce,t0013781,Rent Change,4/30/2013,C0011C,11/5/2012,,630,0,905,2,1,630,
331,ce,t0013781,Rent Change,12/1/2013,C0011C,11/5/2012,9/30/2014,657,1,905,2,1,27,303 days 00:00:00.000000000
338,ce,t0013782,Rent Change,4/30/2013,C0011E,7/1/2011,,640,0,905,2,1,640,
339,ce,t0013782,Rent Change,6/30/2013,C0011E,7/1/2011,8/11/2014,650,1,905,2,1,10,407 days 00:00:00.000000000
350,ce,t0013783,Rent Change,4/30/2013,C0011F,7/9/2010,,640,0,905,2,1,640,
351,ce,t0013783,Rent Change,8/1/2013,C0011F,7/9/2010,7/31/2014,655,1,905,2,1,15,364 days 00:00:00.000000000
357,ce,t0013784,Rent Change,4/30/2013,C0011G,7/28/2012,7/31/2013,640,1,905,2,1,640,92 days 00:00:00.000000000
366,ce,t0013785,Rent Change,4/30/2013,C0011H,10/21/2011,6/1/2013,640,1,905,2,1,640,32 days 00:00:00.000000000
376,ce,t0013786,Rent Change,4/30/2013,C0011J,1/1/2012,,650,0,905,2,1,650,
