CommUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
ce,,,C5271B,Residential,us,,,,,,1/30/2018,5271 Camelot Drive B,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271C,Residential,us,,,,,,1/10/2019,5271 Camelot Drive C,,,,Fairfield,OH,45014,675,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271D,Residential,us,,,,,,7/30/2018,5271 Camelot Drive D,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271E,Residential,us,,,,,,8/2/2018,5271 Camelot Drive E,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271F,Residential,us,,,,,,4/30/2015,5271 Camelot Drive F,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271G,Residential,us,,,,,,7/2/2018,5271 Camelot Drive G,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271H,Residential,us,,,,,,11/9/2018,5271 Camelot Drive H,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271J,Residential,us,,,,,,5/1/2018,5271 Camelot Drive J,,,,Fairfield,OH,45014,800,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,Fireplace
ce,,,C5271K,Residential,us,,,,,,8/30/2018,5271 Camelot Drive K,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271L,Residential,us,,,,,,8/9/2017,5271 Camelot Drive L,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5271M,Residential,us,,,,,,10/19/2017,5271 Camelot Drive M,,,,Fairfield,OH,45014,800,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273A,Residential,us,,,,,,11/26/2018,5273 Camelot Drive A,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273B,Residential,us,,,,,,1/7/2015,5273 Camelot Drive B,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273C,Residential,us,,,,,,4/4/2018,5273 Camelot Drive C,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273D,Residential,us,,,,,,11/8/2018,5273 Camelot Drive D,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273E,Residential,us,,,,,,,5273 Camelot Drive E,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
